,precision,recall,f1-score,support
0.0,0.9740393169032614,0.9776036819999497,0.9758182445790315,79522.0
1.0,0.9062187351903533,0.8925422673996474,0.8993285083479216,19282.0
accuracy,0.9610036030929922,0.9610036030929922,0.9610036030929922,0.9610036030929922
macro avg,0.9401290260468074,0.9350729746997986,0.9375733764634766,98804.0
weighted avg,0.9608038562276986,0.9610036030929922,0.9608909633555157,98804.0
